code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
600941,中国移动,通信服务,主板,红利质量优先,86.3692,88.0601,89.2441,82.0449,4.6548,15.9924,1.4827,0.0305,2.2818,74.8844,0.9714,0.0328,0,有效,1.0000
601808,中海油服,油气开采及服务,主板,稳健观察,85.9607,80.3027,90.2184,86.5528,2.0121,15.6170,1.2829,0.2176,3.5118,16.1372,0.8734,0.1598,0,有效,1.0000
600380,健康元,化学制药,主板,稳健观察,85.2921,90.0985,76.0793,90.3851,1.9048,14.2752,1.1238,0.2639,2.7232,9.9383,0.9277,0.0923,0,有效,1.0000
600742,富维股份,汽车零部件,主板,红利质量优先,85.1638,92.6130,84.6694,79.2731,5.2000,14.7822,0.6732,0.5112,3.0544,5.9749,0.7015,0.4422,0,有效,1.0000
600258,首旅酒店,旅游及酒店,主板,红利质量优先,84.9132,91.7209,82.7810,81.2102,2.6866,15.3107,1.0895,0.4985,4.1806,8.3857,0.7244,0.4302,0,有效,1.0000
601728,中国电信,通信服务,主板,红利质量优先,82.6482,79.8455,83.3012,84.3975,4.3175,19.0362,1.2004,0.6109,4.4005,7.2028,0.9365,0.0800,0,有效,1.0000
603187,海容冷链,通用设备,主板,红利质量优先,82.4650,96.1414,86.2861,66.9214,3.5054,13.0306,0.9966,0.5406,1.5427,3.0253,0.9529,0.0045,0,有效,1.0000
600873,梅花生物,化学制品,主板,红利质量优先,82.1399,91.5596,83.5717,72.6341,4.2300,9.9544,1.3815,0.3767,1.6438,3.3413,0.8274,0.0007,0,有效,1.0000
600035,楚天高速,公路铁路运输,主板,稳健观察,81.8381,95.4340,84.8814,67.1412,4.1237,10.4819,0.6634,0.3566,2.2571,6.3301,0.9280,-0.0823,1,有效,1.0000
603387,基蛋生物,医疗器械,主板,稳健观察,81.7249,89.1366,84.3830,72.7141,2.8674,15.8066,1.5924,0.4082,1.7792,3.2852,0.8793,0.0954,1,有效,1.0000
603214,爱婴室,零售,主板,稳健观察,81.2788,73.4671,83.7785,85.4748,2.2319,24.6528,1.5987,0.4713,3.8035,7.0271,0.9626,0.0461,1,有效,1.0000
