date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-06-30,0.99565469,0.00217265,0.99348204,0.997818,-0.004345,-0.014622,512800|515880
2025-07-01,1.00181702,0.00217265,0.99964437,0.997831,0.001817,-0.008523,512800|515880
2025-07-02,0.99278312,0.00217265,0.99061047,0.997812,-0.007217,-0.017463,512800|515880
2025-07-03,1.00579374,0.00217265,1.00362109,0.99784,0.005794,-0.004587,512800|515880
2025-07-04,1.00792635,0.00217265,1.0057537,0.997844,0.007926,-0.002477,512800|515880
2025-07-07,1.00313296,0.00217265,1.00096031,0.997834,0.003133,-0.00722,512800|515880
2025-07-08,1.02400292,0.00217265,1.02183027,0.997878,0.024003,0.0,512800|515880
2025-07-09,1.02699093,0.00217265,1.02481828,0.997884,0.026991,0.0,512800|515880
2025-07-10,1.03366723,0.00217265,1.03149457,0.997898,0.033667,0.0,512800|515880
2025-07-11,1.02056357,0.00217265,1.01839092,0.997871,0.020564,-0.012677,512800|515880
2025-07-14,1.02527901,0.00217265,1.02310636,0.997881,0.025279,-0.008115,512800|515880
2025-07-15,1.05125373,0.00217265,1.04908107,0.997933,0.051254,0.0,512800|515880
2025-07-16,1.04723857,0.00217265,1.04506591,0.997925,0.047239,-0.003819,512800|515880
2025-07-17,1.0663966,0.00217265,1.06422395,0.997963,0.066397,0.0,512800|515880
2025-07-18,1.06767269,0.00217265,1.06550003,0.997965,0.067673,0.0,512800|515880
2025-07-21,1.06799957,0.00217265,1.06582691,0.997966,0.068,0.0,512800|515880
2025-07-22,1.05777496,0.00217265,1.05560231,0.997946,0.057775,-0.009574,512800|515880
2025-07-23,1.05928447,0.00217265,1.05711182,0.997949,0.059284,-0.00816,512800|515880
2025-07-24,1.0548804,0.00217265,1.05270775,0.99794,0.05488,-0.012284,512800|515880
2025-07-25,1.05464698,0.49621754,0.55842944,0.529494,0.054647,-0.012502,515880
2025-07-28,1.06594567,0.49621754,0.56972813,0.534481,0.065946,-0.001923,515880
2025-07-29,1.0899126,0.49621754,0.59369506,0.544718,0.089913,0.0,515880
2025-07-30,1.09196691,0.49621754,0.59574937,0.545575,0.091967,0.0,515880
2025-07-31,1.09539076,0.49621754,0.59917322,0.546995,0.095391,0.0,515880
2025-08-01,1.08614637,0.49621754,0.58992883,0.543139,0.086146,-0.008439,515880
2025-08-04,1.0899126,0.49621754,0.59369506,0.544718,0.089913,-0.005001,515880
2025-08-05,1.10052653,0.49621754,0.60430899,0.549109,0.100527,0.0,515880
2025-08-06,1.10155368,0.49621754,0.60533614,0.549529,0.101554,0.0,515880
2025-08-07,1.09949937,0.49621754,0.60328183,0.548688,0.099499,-0.001865,515880
2025-08-08,1.10018414,0.49621754,0.6039666,0.548969,0.100184,-0.001243,515880
2025-08-11,1.11285238,0.49621754,0.61663484,0.554103,0.112852,0.0,515880
2025-08-12,1.13339546,0.49621754,0.63717792,0.562185,0.133395,0.0,515880
2025-08-13,1.17448162,0.49621754,0.67826408,0.577501,0.174482,0.0,515880
2025-08-14,1.15702,0.49621754,0.66080246,0.571124,0.15702,-0.014868,515880
2025-08-15,1.16352531,0.49621754,0.66730777,0.573522,0.163525,-0.009329,515880
2025-08-18,1.19194324,0.49621754,0.6957257,0.58369,0.191943,0.0,515880
2025-08-19,1.22001879,0.49621754,0.72380125,0.593271,0.220019,0.0,515880
2025-08-20,1.22207309,0.49621754,0.72585555,0.593954,0.222073,0.0,515880
2025-08-21,1.21454063,0.49621754,0.71832309,0.591436,0.214541,-0.006164,515880
2025-08-22,1.24261618,0.49621754,0.74639864,0.600667,0.242616,0.0,515880
2025-08-25,1.29294673,0.49621754,0.79672919,0.616212,0.292947,0.0,515880
2025-08-26,1.27616988,0.49621754,0.77995234,0.611167,0.27617,-0.012976,515880
2025-08-27,1.29637057,0.49621754,0.80015303,0.617226,0.296371,0.0,515880
2025-08-28,1.37101044,0.49621754,0.8747929,0.638064,0.37101,0.0,515880
2025-08-29,1.37032567,0.49621754,0.87410813,0.637883,0.370326,-0.000499,515880
2025-09-01,1.42202576,0.49621754,0.92580822,0.651049,0.422026,0.0,515880
2025-09-02,1.36861374,0.49621754,0.8723962,0.637431,0.368614,-0.037561,515880
2025-09-03,1.38641775,0.49621754,0.89020021,0.642087,0.386418,-0.02504,515880
2025-09-04,1.30321827,0.49621754,0.80700073,0.619237,0.303218,-0.083548,515880
2025-09-05,1.3583422,0.49621754,0.86212466,0.634689,0.358342,-0.044784,515880
2025-09-08,1.3158865,0.49621754,0.81966896,0.622902,0.315887,-0.074639,515880
2025-09-09,1.29945204,0.49621754,0.80323449,0.618133,0.299452,-0.086197,515880
2025-09-10,1.33574481,0.49621754,0.83952727,0.628509,0.335745,-0.060675,515880
2025-09-11,1.41962906,0.49621754,0.92341152,0.65046,0.419629,-0.001685,515880
2025-09-12,1.3942926,0.49621754,0.89807505,0.644108,0.394293,-0.019503,515880
2025-09-15,1.3785429,0.49621754,0.88232536,0.640042,0.378543,-0.030578,515880
2025-09-16,1.38504821,0.49621754,0.88883067,0.641733,0.385048,-0.026003,515880
2025-09-17,1.38812967,0.49621754,0.89191213,0.642528,0.38813,-0.023836,515880
2025-09-18,1.40524891,0.49621754,0.90903137,0.646883,0.405249,-0.011798,515880
2025-09-19,1.41415091,0.49621754,0.91793337,0.649106,0.414151,-0.005538,515880
2025-09-22,1.42476483,0.49621754,0.92854729,0.65172,0.424765,0.0,515880
2025-09-23,1.4322973,0.49621754,0.93607976,0.653551,0.432297,0.0,515880
2025-09-24,1.42613437,0.49621754,0.92991683,0.652054,0.426134,-0.004303,515880
2025-09-25,1.44770461,0.49621754,0.95148707,0.657238,0.447705,0.0,515880
2025-09-26,1.41894429,0.49621754,0.92272675,0.650291,0.418944,-0.019866,515880
2025-09-29,1.43161253,0.49621754,0.93539499,0.653386,0.431613,-0.011116,515880
2025-09-30,1.41243899,0.49621754,0.91622144,0.64868,0.412439,-0.02436,515880
2025-10-09,1.42065622,0.49621754,0.92443868,0.650712,0.420656,-0.018684,515880
2025-10-10,1.40148267,0.49621754,0.90526513,0.645934,0.401483,-0.031928,515880
2025-10-13,1.38607536,0.49621754,0.88985782,0.641998,0.386075,-0.04257,515880
2025-10-14,1.33060904,0.49621754,0.8343915,0.627075,0.330609,-0.080884,515880
2025-10-15,1.35286405,0.0,1.35286405,1.0,0.352864,-0.065511,513310|518880
2025-10-16,1.36075261,0.0,1.36075261,1.0,0.360753,-0.060062,513310|518880
2025-10-17,1.37182955,0.0,1.37182955,1.0,0.37183,-0.052411,513310|518880
2025-10-20,1.35967995,0.0,1.35967995,1.0,0.35968,-0.060803,513310|518880
2025-10-21,1.38198915,0.0,1.38198915,1.0,0.381989,-0.045393,513310|518880
2025-10-22,1.35505123,0.0,1.35505123,1.0,0.355051,-0.064,513310|518880
2025-10-23,1.33978951,0.0,1.33978951,1.0,0.33979,-0.074542,513310|518880
2025-10-24,1.36608338,0.0,1.36608338,1.0,0.366083,-0.05638,513310|518880
2025-10-27,1.39580604,0.0,1.39580604,1.0,0.395806,-0.035849,513310|518880
2025-10-28,1.37416943,0.0,1.37416943,1.0,0.374169,-0.050794,513310|518880
2025-10-29,1.40729004,0.0,1.40729004,1.0,0.40729,-0.027916,513310|518880
2025-10-30,1.41470505,0.0,1.41470505,1.0,0.414705,-0.022794,513310|518880
2025-10-31,1.41593613,0.0,1.41593613,1.0,0.415936,-0.021944,513310|518880
2025-11-03,1.45165408,0.0,1.45165408,1.0,0.451654,0.0,513310|518880
2025-11-04,1.40549178,0.0,1.40549178,1.0,0.405492,-0.0318,513310|518880
2025-11-05,1.37935525,0.0,1.37935525,1.0,0.379355,-0.049804,513310|518880
2025-11-06,1.40823699,0.0,1.40823699,1.0,0.408237,-0.029909,513310|518880
2025-11-07,1.40450345,0.0,1.40450345,1.0,0.404503,-0.032481,513310|518880
2025-11-10,1.42326775,0.0,1.42326775,1.0,0.423268,-0.019554,513310|518880
2025-11-11,1.43566878,0.0,1.43566878,1.0,0.435669,-0.011012,513310|518880
2025-11-12,1.42869539,0.0,1.42869539,1.0,0.428695,-0.015816,513310|518880
2025-11-13,1.43461766,0.0,1.43461766,1.0,0.434618,-0.011736,513310|518880
2025-11-14,1.39500774,0.0,1.39500774,1.0,0.395008,-0.039022,513310|518880
2025-11-17,1.3730036,0.0,1.3730036,1.0,0.373004,-0.05418,513310|518880
2025-11-18,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-19,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-20,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-21,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-24,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-25,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-26,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-27,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-11-28,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-01,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-02,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-03,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-04,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-05,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-08,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-09,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-10,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
