date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-06-18,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-19,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-20,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-23,1.0,0.75,0.25,0.25,0.0,0.0,159887
2025-06-24,1.00035663,0.75,0.25035663,0.250267,0.000357,0.0,159887
2025-06-25,1.00303138,0.75,0.25303138,0.252267,0.003031,0.0,159887
2025-06-26,1.00588445,0.75,0.25588445,0.254388,0.005884,0.0,159887
2025-06-27,0.99875178,0.75,0.24875178,0.249063,-0.001248,-0.007091,159887
2025-06-30,0.99857347,0.50035663,0.49821683,0.498929,-0.001427,-0.007268,159887|159994
2025-07-01,1.00221965,0.50035663,0.50186301,0.500752,0.00222,-0.003643,159887|159994
2025-07-02,0.99822476,0.50035663,0.49786813,0.498754,-0.001775,-0.007615,159887|159994
2025-07-03,1.00553317,0.50035663,0.50517653,0.502397,0.005533,-0.000349,159887|159994
2025-07-04,1.00957323,0.50035663,0.50921659,0.504388,0.009573,0.0,159887|159994
2025-07-07,1.00702885,0.50035663,0.50667222,0.503136,0.007029,-0.00252,159887|159994
2025-07-08,1.01612577,0.50035663,0.51576913,0.507584,0.016126,0.0,159887|159994
2025-07-09,1.01814847,0.50035663,0.51779184,0.508562,0.018148,0.0,159887|159994
2025-07-10,1.02135817,0.50035663,0.52100154,0.510107,0.021358,0.0,159887|159994
2025-07-11,1.01596607,0.50035663,0.51560944,0.507507,0.015966,-0.005279,159887|159994
2025-07-14,1.01763215,0.50035663,0.51727551,0.508313,0.017632,-0.003648,159887|159994
2025-07-15,1.02951298,0.50035663,0.52915635,0.513987,0.029513,0.0,159887|159994
2025-07-16,1.02645762,0.50035663,0.52610099,0.51254,0.026458,-0.002968,159887|159994
2025-07-17,1.03769969,0.50035663,0.53734306,0.517821,0.0377,0.0,159887|159994
2025-07-18,1.03775556,0.24091774,0.79683782,0.767847,0.037756,0.0,159887|159994|563330
2025-07-21,1.03823545,0.24091774,0.79731771,0.767955,0.038235,0.0,159887|159994|563330
2025-07-22,1.03622949,0.24091774,0.79531175,0.767505,0.036229,-0.001932,159887|159994|563330
2025-07-23,1.03414484,0.24091774,0.7932271,0.767037,0.034145,-0.00394,159887|159994|563330
2025-07-24,1.03580186,0.24091774,0.79488412,0.767409,0.035802,-0.002344,159887|159994|563330
2025-07-25,1.03496207,0.23092901,0.80403306,0.776872,0.034962,-0.003153,159994|515810|563330
2025-07-28,1.04231445,0.23092901,0.81138545,0.778446,0.042314,0.0,159994|515810|563330
2025-07-29,1.05335889,0.23092901,0.82242988,0.780769,0.053359,0.0,159994|515810|563330
2025-07-30,1.05138073,0.23092901,0.82045172,0.780356,0.051381,-0.001878,159994|515810|563330
2025-07-31,1.04296703,0.23092901,0.81203802,0.778585,0.042967,-0.009865,159994|515810|563330
2025-08-01,1.03978318,0.23092901,0.80885417,0.777907,0.039783,-0.012888,159994|515810|563330
2025-08-04,1.04012135,0.23092901,0.80919234,0.777979,0.040121,-0.012567,159994|515810|563330
2025-08-05,1.04590877,0.23092901,0.81497976,0.779207,0.045909,-0.007073,159994|515810|563330
2025-08-06,1.04938272,0.23092901,0.81845371,0.779938,0.049383,-0.003775,159994|515810|563330
2025-08-07,1.0485377,0.23092901,0.81760869,0.779761,0.048538,-0.004577,159994|515810|563330
2025-08-08,1.04772925,0.23092901,0.81680025,0.779591,0.047729,-0.005344,159994|515810|563330
2025-08-11,1.05871326,0.23092901,0.82778425,0.781878,0.058713,0.0,159994|515810|563330
2025-08-12,1.0678754,0.23092901,0.83694639,0.783749,0.067875,0.0,159994|515810|563330
2025-08-13,1.09197301,0.23092901,0.861044,0.788521,0.091973,0.0,159994|515810|563330
2025-08-14,1.08167972,0.23092901,0.85075071,0.786509,0.08168,-0.009426,159994|515810|563330
2025-08-15,1.09057382,0.23092901,0.85964481,0.78825,0.090574,-0.001281,159994|515810|563330
2025-08-18,1.10802786,0.23092901,0.87709885,0.791586,0.108028,0.0,159994|515810|563330
2025-08-19,1.11400617,0.23092901,0.88307716,0.792704,0.114006,0.0,159994|515810|563330
2025-08-20,1.12217235,0.23092901,0.89124334,0.794213,0.122172,0.0,159994|515810|563330
2025-08-21,1.12154954,0.23092901,0.89062053,0.794098,0.12155,-0.000555,159994|515810|563330
2025-08-22,1.14527261,0.23092901,0.9143436,0.798363,0.145273,0.0,159994|515810|563330
2025-08-25,1.17428876,0.23092901,0.94335975,0.803346,0.174289,0.0,159994|515810|563330
2025-08-26,1.17205044,0.23092901,0.94112143,0.80297,0.17205,-0.001906,159994|515810|563330
2025-08-27,1.17011539,0.23092901,0.93918638,0.802644,0.170115,-0.003554,159994|515810|563330
2025-08-28,1.20790634,0.23092901,0.97697734,0.808819,0.207906,0.0,159994|515810|563330
2025-08-29,1.21579164,0.23092901,0.98486263,0.810059,0.215792,0.0,159994|515810|563330
2025-09-01,1.23943224,0.23092901,1.00850323,0.813682,0.239432,0.0,159994|515810|563330
