date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-06-18,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-19,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-20,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-23,1.0,0.0,1.0,1.0,0.0,0.0,159697|159887
2025-06-24,0.984304,0.0,0.984304,1.0,-0.015696,-0.015696,159697|159887
2025-06-25,0.98917088,0.0,0.98917088,1.0,-0.010829,-0.010829,159697|159887
2025-06-26,0.99729014,0.0,0.99729014,1.0,-0.00271,-0.00271,159697|159887
2025-06-27,0.97964642,0.0,0.97964642,1.0,-0.020354,-0.020354,159697|159887
2025-06-30,0.97977242,0.0,0.97977242,1.0,-0.020228,-0.020228,159697|159887
2025-07-01,0.98703108,0.0,0.98703108,1.0,-0.012969,-0.012969,159697|159887
2025-07-02,0.9927799,0.0,0.9927799,1.0,-0.00722,-0.00722,159697|159887
2025-07-03,0.99194064,0.0,0.99194064,1.0,-0.008059,-0.008059,159697|159887
2025-07-04,1.00012186,0.0,1.00012186,1.0,0.000122,0.0,159697|159887
2025-07-07,0.99984853,0.0,0.99984853,1.0,-0.000151,-0.000273,159697|159887
2025-07-08,0.99986988,0.0,0.99986988,1.0,-0.00013,-0.000252,159697|159887
2025-07-09,1.00381419,0.0,1.00381419,1.0,0.003814,0.0,159697|159887
2025-07-10,1.01602509,0.0,1.01602509,1.0,0.016025,0.0,159697|159887
2025-07-11,1.0073399,0.0,1.0073399,1.0,0.00734,-0.008548,159697|159887
2025-07-14,1.01201882,0.0,1.01201882,1.0,0.012019,-0.003943,159697|159887
2025-07-15,1.00352158,0.0,1.00352158,1.0,0.003522,-0.012306,159697|159887
2025-07-16,1.00247303,0.0,1.00247303,1.0,0.002473,-0.013338,159697|159887
2025-07-17,1.00068986,0.0,1.00068986,1.0,0.00069,-0.015093,159697|159887
2025-07-18,1.00583006,0.0,1.00583006,1.0,0.00583,-0.010034,159697|159887
2025-07-21,1.00637672,0.0,1.00637672,1.0,0.006377,-0.009496,159697|159887
2025-07-22,1.0081406,0.0,1.0081406,1.0,0.008141,-0.00776,159697|159887
2025-07-23,1.00606277,0.0,1.00606277,1.0,0.006063,-0.009805,159697|159887
2025-07-24,1.00002134,0.0,1.00002134,1.0,2.1e-05,-0.015751,159697|159887
2025-07-25,0.99653832,0.49750357,0.49903475,0.500768,-0.003462,-0.019179,159697
2025-07-28,0.99219469,0.00140622,0.99078846,0.998583,-0.007805,-0.023455,159697|515810
2025-07-29,0.99597268,0.00140622,0.99456646,0.998588,-0.004027,-0.019736,159697|515810
2025-07-30,1.00263991,0.00140622,1.00123369,0.998597,0.00264,-0.013174,159697|515810
2025-07-31,0.9854249,0.00140622,0.98401867,0.998573,-0.014575,-0.030118,159697|515810
2025-08-01,0.98253566,0.00140622,0.98112944,0.998569,-0.017464,-0.032961,159697|515810
2025-08-04,0.98029507,0.48982321,0.49047186,0.500331,-0.019705,-0.035166,515810
2025-08-05,0.983811,0.48982321,0.49398779,0.502117,-0.016189,-0.031706,515810
2025-08-06,0.98556896,0.48982321,0.49574575,0.503005,-0.014431,-0.029976,515810
2025-08-07,0.98521737,0.48982321,0.49539416,0.502827,-0.014783,-0.030322,515810
2025-08-08,0.98556896,0.48982321,0.49574575,0.503005,-0.014431,-0.029976,515810
2025-08-11,0.98732693,0.48982321,0.49750371,0.50389,-0.012673,-0.028246,515810
2025-08-12,0.98908489,0.48982321,0.49926168,0.504771,-0.010915,-0.026515,515810
2025-08-13,0.99752311,0.48982321,0.5076999,0.508961,-0.002477,-0.01821,515810
2025-08-14,0.99471037,0.48982321,0.50488716,0.507572,-0.00529,-0.020979,515810
2025-08-15,0.99928108,0.48982321,0.50945787,0.509824,-0.000719,-0.01648,515810
2025-08-18,1.00385178,0.48982321,0.51402857,0.512056,0.003852,-0.011981,515810
2025-08-19,1.00385178,0.48982321,0.51402857,0.512056,0.003852,-0.011981,515810
2025-08-20,1.00736771,0.48982321,0.5175445,0.513759,0.007368,-0.008521,515810
2025-08-21,1.0077193,0.48982321,0.51789609,0.513929,0.007719,-0.008175,515810
2025-08-22,1.01932186,0.48982321,0.52949865,0.519462,0.019322,0.0,515810
2025-08-25,1.03057283,0.48982321,0.54074962,0.524708,0.030573,0.0,515810
2025-08-26,1.02986965,0.48982321,0.54004643,0.524383,0.02987,-0.000682,515810
2025-08-27,1.02318938,0.48982321,0.53336617,0.521278,0.023189,-0.007164,515810
2025-08-28,1.0323308,0.48982321,0.54250758,0.525517,0.032331,0.0,515810
2025-08-29,1.03725309,0.48982321,0.54742988,0.527769,0.037253,0.0,515810
2025-09-01,1.03936265,0.48982321,0.54953944,0.528727,0.039363,0.0,515810
2025-09-02,1.0323308,0.48982321,0.54250758,0.525517,0.032331,-0.006766,515810
2025-09-03,1.0270569,0.48982321,0.53723369,0.523081,0.027057,-0.01184,515810
2025-09-04,1.01650912,0.48982321,0.52668591,0.518132,0.016509,-0.021988,515810
