date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-06-18,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-19,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-20,1.0,1.0,0.0,0.0,0.0,0.0,
2025-06-23,1.0,0.75,0.25,0.25,0.0,0.0,159887
2025-06-24,1.00035663,0.75,0.25035663,0.250267,0.000357,0.0,159887
2025-06-25,1.00303138,0.49924215,0.50378923,0.502267,0.003031,0.0,159887|159940
2025-06-26,1.00608174,0.49924215,0.50683959,0.503776,0.006082,0.0,159887|159940
2025-06-27,0.99441136,0.49924215,0.49516921,0.497952,-0.005589,-0.0116,159887|159940
2025-06-30,0.99423305,0.25068389,0.74354916,0.747862,-0.005767,-0.011777,159887|159940|159994
2025-07-01,0.99985102,0.00072114,0.99912989,0.999279,-0.000149,-0.006193,159887|159940|159994|515860
2025-07-02,0.99123683,0.00072114,0.9905157,0.999272,-0.008763,-0.014755,159887|159940|159994|515860
2025-07-03,1.00536879,0.00072114,1.00464766,0.999283,0.005369,-0.000709,159887|159940|159994|515860
2025-07-04,1.0117845,0.00072114,1.01106337,0.999287,0.011785,0.0,159887|159940|159994|515860
2025-07-07,1.00740851,0.00072114,1.00668737,0.999284,0.007409,-0.004325,159887|159940|159994|515860
2025-07-08,1.02431968,0.00072114,1.02359855,0.999296,0.02432,0.0,159887|159940|159994|515860
2025-07-09,1.02512181,0.00072114,1.02440068,0.999297,0.025122,0.0,159887|159940|159994|515860
2025-07-10,1.03366795,0.00072114,1.03294681,0.999302,0.033668,0.0,159887|159940|159994|515860
2025-07-11,1.02589006,0.00072114,1.02516893,0.999297,0.02589,-0.007525,159887|159940|159994|515860
2025-07-14,1.02698001,0.00072114,1.02625888,0.999298,0.02698,-0.00647,159887|159940|159994|515860
2025-07-15,1.04528454,0.00072114,1.04456341,0.99931,0.045285,0.0,159887|159940|159994|515860
2025-07-16,1.03823863,0.00072114,1.03751749,0.999305,0.038239,-0.006741,159887|159940|159994|515860
2025-07-17,1.05650046,0.00072114,1.05577933,0.999317,0.0565,0.0,159887|159940|159994|515860
2025-07-18,1.05853599,0.00072114,1.05781485,0.999319,0.058536,0.0,159887|159940|159994|515860
2025-07-21,1.05772812,0.00072114,1.05700698,0.999318,0.057728,-0.000763,159887|159940|159994|515860
2025-07-22,1.05160527,0.00072114,1.05088413,0.999314,0.051605,-0.006547,159887|159940|159994|515860
2025-07-23,1.0517427,0.00072114,1.05102156,0.999314,0.051743,-0.006418,159887|159940|159994|515860
2025-07-24,1.05287382,0.00072114,1.05215268,0.999315,0.052874,-0.005349,159887|159940|159994|515860
2025-07-25,1.05323427,0.24947292,0.80376135,0.763136,0.053234,-0.005009,159940|159994|515860
2025-07-28,1.06691467,0.24947292,0.81744175,0.766174,0.066915,0.0,159940|159994|515860
2025-07-29,1.0779342,0.24947292,0.82846128,0.768564,0.077934,0.0,159940|159994|515860
2025-07-30,1.07775018,0.24947292,0.82827726,0.768524,0.07775,-0.000171,159940|159994|515860
2025-07-31,1.0719257,0.24947292,0.82245278,0.767267,0.071926,-0.005574,159940|159994|515860
2025-08-01,1.06511813,0.2347404,0.83037773,0.779611,0.065118,-0.011889,159505|159994|515860
2025-08-04,1.06694898,0.2347404,0.83220858,0.779989,0.066949,-0.010191,159505|159994|515860
2025-08-05,1.07383006,0.2347404,0.83908966,0.781399,0.07383,-0.003807,159505|159994|515860
2025-08-06,1.0805267,0.2347404,0.8457863,0.782754,0.080527,0.0,159505|159994|515860
2025-08-07,1.07966751,0.2347404,0.84492711,0.782581,0.079668,-0.000795,159505|159994|515860
2025-08-08,1.07682844,0.2347404,0.84208804,0.782008,0.076828,-0.003423,159505|159994|515860
2025-08-11,1.0923955,0.2347404,0.8576551,0.785114,0.092395,0.0,159505|159994|515860
2025-08-12,1.10387156,0.2347404,0.86913116,0.787348,0.103872,0.0,159505|159994|515860
2025-08-13,1.13568833,0.2347404,0.90094793,0.793306,0.135688,0.0,159505|159994|515860
2025-08-14,1.11894794,0.2347404,0.88420754,0.790213,0.118948,-0.01474,159505|159994|515860
2025-08-15,1.12956677,0.2347404,0.89482637,0.792185,0.129567,-0.00539,159505|159994|515860
2025-08-18,1.15385736,0.2347404,0.91911696,0.79656,0.153857,0.0,159505|159994|515860
2025-08-19,1.16006176,0.2347404,0.92532135,0.797648,0.160062,0.0,159505|159994|515860
2025-08-20,1.17142577,0.2347404,0.93668537,0.799611,0.171426,0.0,159505|159994|515860
2025-08-21,1.17167275,0.2347404,0.93693235,0.799654,0.171673,0.0,159505|159994|515860
2025-08-22,1.20243021,0.2347404,0.96768981,0.804778,0.20243,0.0,159505|159994|515860
2025-08-25,1.2259239,0.2347404,0.9911835,0.80852,0.225924,0.0,159505|159994|515860
2025-08-26,1.22397344,0.2347404,0.98923304,0.808214,0.223973,-0.001591,159505|159994|515860
2025-08-27,1.22517597,0.2347404,0.99043556,0.808403,0.225176,-0.00061,159505|159994|515860
2025-08-28,1.27117062,0.2347404,1.03643022,0.815335,0.271171,0.0,159505|159994|515860
