date,action,code,name,theme,price,shares,value,fee,stamp_tax,cost_basis,realized_pnl,realized_return,score,reason,cash_after,equity_after
2025-06-24,BUY,512800,华宝中证银行ETF,银行,0.868342,0.57580989,0.5,0.0,0.0,0.5,0.0,0.0,0.724149,score above threshold,0.5,1.0
2025-06-30,BUY,515880,国泰中证全指通信设备ETF,通信,0.498777,0.99809561,0.49782735,0.0,0.0,0.49782735,0.0,0.0,0.739079,score above threshold,0.00217265,0.99565469
2025-07-25,SELL,512800,华宝中证银行ETF,银行,0.858,0.57580989,0.49404489,0.0,0.0,0.5,-0.00595511,-0.01191,-0.00645,two closes below MA30,0.49621754,1.05464698
2025-10-15,BUY,513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中韩半导体,2.382,0.2839765,0.67643202,0.0,0.0,0.67643202,0.0,0.0,0.627908,score above threshold,0.0,1.35286405
2025-10-15,BUY,518880,华安黄金ETF,黄金,9.187,0.07362926,0.67643202,0.0,0.0,0.67643202,0.0,0.0,0.641045,score above threshold,0.67643202,1.35286405
2025-10-15,SELL,515880,国泰中证全指通信设备ETF,通信,0.858281,0.99809561,0.85664651,0.0,0.0,0.49782735,0.35881916,0.72077,0.143549,two closes below MA30,1.35286405,1.35286405
2025-11-18,SELL,513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中韩半导体,2.482,0.2839765,0.70482967,0.0,0.0,0.67643202,0.02839765,0.041982,0.08899,two closes below MA30,1.3510737,1.3510737
2025-11-18,SELL,518880,华安黄金ETF,黄金,8.777,0.07362926,0.64624403,0.0,0.0,0.67643202,-0.030188,-0.044628,-0.269814,two closes below MA30,0.64624403,1.3510737
2025-12-16,BUY,563230,富国中证卫星产业ETF,卫星,1.144,0.59050424,0.67553685,0.0,0.0,0.67553685,0.0,0.0,0.603681,score above threshold,0.67553685,1.3510737
2025-12-18,BUY,159206,卫星ETF永赢,卫星,1.404,0.4811516,0.67553685,0.0,0.0,0.67553685,0.0,0.0,0.695331,score above threshold,0.67553685,1.3510737
2026-02-06,SELL,159206,卫星ETF永赢,卫星,1.837,0.4811516,0.88387549,0.0,0.0,0.67553685,0.20833864,0.308405,-0.091309,two closes below MA30,1.55941235,1.55941235
2026-02-06,SELL,563230,富国中证卫星产业ETF,卫星,1.565,0.59050424,0.92413914,0.0,0.0,0.67553685,0.24860229,0.368007,-0.127007,two closes below MA30,1.59967599,1.59967599
2026-03-09,BUY,159625,嘉实国证绿色电力ETF,环保低碳,1.346,0.5792765,0.77970617,0.0,0.0,0.77970617,0.0,0.0,0.664007,score above threshold,0.77970617,1.55941235
2026-03-09,BUY,560620,万家中证全指公用事业ETF,万家全指公用事业,1.025,0.76068895,0.77970617,0.0,0.0,0.77970617,0.0,0.0,0.608629,score above threshold,0.0,1.55941235
2026-03-09,BUY,562550,华夏中证绿色电力ETF,环保低碳,1.251,0.63935891,0.79983799,0.0,0.0,0.79983799,0.0,0.0,0.720733,score above threshold,0.79983799,1.59967599
2026-03-10,BUY,159663,华夏中证机床ETF,机床,2.014,0.39523428,0.79600184,0.0,0.0,0.79600184,0.0,0.0,0.688641,score above threshold,0.00383615,1.59200368
2026-03-18,SELL,159663,华夏中证机床ETF,机床,1.837,0.39523428,0.72604537,0.0,0.0,0.79600184,-0.06995647,-0.087885,0.154499,two closes below MA30,0.72988153,1.52268657
2026-04-01,SELL,159625,嘉实国证绿色电力ETF,环保低碳,1.29,0.5792765,0.74726669,0.0,0.0,0.77970617,-0.03243948,-0.041605,0.012998,two closes below MA30,0.74726669,1.50643426
2026-04-01,SELL,560620,万家中证全指公用事业ETF,万家全指公用事业,0.998,0.76068895,0.75916757,0.0,0.0,0.77970617,-0.0205386,-0.026341,0.007124,two closes below MA30,1.50643426,1.50643426
2026-04-01,SELL,562550,华夏中证绿色电力ETF,环保低碳,1.189,0.63935891,0.76019774,0.0,0.0,0.79983799,-0.03964025,-0.04956,0.010424,two closes below MA30,1.49007927,1.49007927
2026-04-21,BUY,159259,易方达国证成长100ETF,科技成长,1.293,0.58253452,0.75321713,0.0,0.0,0.75321713,0.0,0.0,0.798647,score above threshold,0.75321713,1.50643426
2026-04-21,BUY,515880,国泰中证全指通信设备ETF,通信,1.338,0.56294255,0.75321713,0.0,0.0,0.75321713,0.0,0.0,0.754333,score above threshold,0.0,1.50643426
2026-04-21,BUY,159543,国证2000ETF工银,国证2000ETF工银,1.543,0.48285135,0.74503963,0.0,0.0,0.74503963,0.0,0.0,0.612001,score above threshold,0.0,1.49007927
2026-05-06,BUY,588200,嘉实上证科创板芯片ETF,科创半导体,3.26,0.23346574,0.76109833,0.0,0.0,0.76109833,0.0,0.0,1.055397,stronger non-theme ETF,0.0,1.55742301
2026-05-06,SELL,515880,国泰中证全指通信设备ETF,通信,1.352,0.56294255,0.76109833,0.0,0.0,0.75321713,0.0078812,0.010463,0.577611,replace weaker ETF,0.76109833,1.55742301
2026-05-13,BUY,588690,科综指增,科综指增,1.365,0.61585774,0.84064582,0.0,0.0,0.84064582,0.0,0.0,1.027224,stronger non-theme ETF,0.00810697,1.68129163
2026-05-13,SELL,159259,易方达国证成长100ETF,科技成长,1.457,0.58253452,0.84875279,0.0,0.0,0.75321713,0.09553566,0.126837,0.899831,replace weaker ETF,0.84875279,1.68129163
2026-05-13,SELL,159543,国证2000ETF工银,国证2000ETF工银,1.683,0.48285135,0.81263882,0.0,0.0,0.74503963,0.06759919,0.090732,0.810372,replace weaker ETF,0.81263882,1.63613899
2026-06-02,SELL,588690,科综指增,科综指增,1.273,0.61585774,0.7839869,0.0,0.0,0.84064582,-0.05665891,-0.067399,0.096177,two closes below MA30,0.79209388,1.59638337
