date,action,code,name,theme,price,shares,value,score,reason,cash_after,equity_after
2025-06-23,BUY,159887,富国中证800银行ETF,银行,1.402,0.17831669,0.25,0.647076,score above threshold,0.75,1.0
2025-06-30,BUY,159994,5GETF,通信,0.967,0.25816274,0.24964337,0.702724,score above threshold,0.50035663,0.99857347
2025-07-18,BUY,563330,华泰柏瑞中证A股ETF,华泰柏瑞中证A股ETF,3.577,0.07252974,0.25943889,0.959055,score above threshold,0.24091774,1.03775556
2025-07-25,SELL,159887,富国中证800银行ETF,银行,1.395,0.17831669,0.24875178,0.02,two closes below MA30,0.48966953,1.03496207
2025-07-25,BUY,515810,易方达中证800ETF,易方达中证800ETF,1.409,0.18363415,0.25874052,0.934683,score above threshold,0.23092901,1.03496207
2025-10-15,SELL,159994,5GETF,通信,1.614,0.25816274,0.41667466,0.203395,two closes below MA30,0.64760367,1.23754801
2025-10-17,BUY,159937,博时黄金ETF,黄金,9.558,0.03199631,0.30582075,0.83929,score above threshold,0.34178292,1.22328298
2025-10-20,SELL,563330,华泰柏瑞中证A股ETF,华泰柏瑞中证A股ETF,4.012,0.07252974,0.29098933,-0.0162,two closes below MA30,0.63277225,1.21652484
2025-10-20,SELL,515810,易方达中证800ETF,易方达中证800ETF,1.567,0.18363415,0.28775471,0.030301,two closes below MA30,0.92052696,1.21652484
2025-10-30,BUY,560620,万家中证全指公用事业ETF,万家全指公用事业,1.002,0.29889396,0.29949174,0.603913,score above threshold,0.62103522,1.19796698
2025-11-10,BUY,159263,易方达国证价值100ETF,价值,1.121,0.26912729,0.30169169,0.844499,score above threshold,0.31934353,1.20676675
2025-11-18,SELL,159937,博时黄金ETF,黄金,8.761,0.03199631,0.28031968,-0.267719,two closes below MA30,0.59966322,1.18407514
2025-11-19,SELL,560620,万家中证全指公用事业ETF,万家全指公用事业,0.974,0.29889396,0.29112271,0.068606,two closes below MA30,0.89078593,1.18601856
2025-12-10,SELL,159263,易方达国证价值100ETF,价值,1.079,0.26912729,0.29038834,-0.270714,two closes below MA30,1.18117427,1.18117427
2025-12-18,BUY,159206,卫星ETF永赢,卫星,1.404,0.21032305,0.29529357,0.695331,score above threshold,0.8858807,1.18117427
2025-12-19,BUY,159623,博时成渝经济圈ETF,成渝经济圈,1.049,0.28250256,0.29634518,0.623677,score above threshold,0.58953552,1.18538073
2026-01-05,BUY,159731,华夏中证石化产业ETF,石化,0.922,0.33731659,0.31100589,0.661025,score above threshold,0.27852963,1.24402357
2026-02-02,SELL,159623,博时成渝经济圈ETF,成渝经济圈,1.025,0.28250256,0.28956512,-0.01858,two closes below MA30,0.56809475,1.28838962
2026-02-06,SELL,159206,卫星ETF永赢,卫星,1.837,0.21032305,0.38636345,-0.091309,two closes below MA30,0.9544582,1.29481063
2026-03-10,BUY,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.098,0.29934251,0.32867808,0.867502,score above threshold,0.62578012,1.31471231
2026-03-11,BUY,560620,万家中证全指公用事业ETF,万家全指公用事业,1.047,0.31770603,0.33263821,0.766884,score above threshold,0.29314191,1.33055284
2026-03-17,SELL,159731,华夏中证石化产业ETF,石化,1.029,0.33731659,0.34709877,0.040838,two closes below MA30,0.64024068,1.29344352
2026-04-01,SELL,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.055,0.29934251,0.31580635,0.017215,two closes below MA30,0.95604703,1.27311764
2026-04-01,SELL,560620,万家中证全指公用事业ETF,万家全指公用事业,0.998,0.31770603,0.31707062,0.007124,two closes below MA30,1.27311764,1.27311764
2026-04-21,BUY,159259,易方达国证成长100ETF,科技成长,1.293,0.24615577,0.31827941,0.798647,score above threshold,0.95483823,1.27311764
2026-04-22,BUY,159994,5GETF,通信,1.264,0.25311785,0.31994096,0.740226,score above threshold,0.63489727,1.27976385
2026-05-06,BUY,510020,博时上证超大盘ETF,超大盘,4.092,0.0784917,0.32118803,0.960639,score above threshold,0.31370924,1.28475211
2026-05-22,SELL,510020,博时上证超大盘ETF,超大盘,3.909,0.0784917,0.30682405,0.058333,two closes below MA30,0.62053329,1.32796224
2026-05-25,BUY,159516,国泰中证半导体材料设备主题ETF,半导体,1.35,0.25096757,0.33880622,0.930003,score above threshold,0.28172707,1.35522486
