date,action,code,name,theme,price,shares,value,score,reason,cash_after,equity_after
2025-06-23,BUY,159887,富国中证800银行ETF,银行,1.402,0.35663338,0.5,0.647076,score above threshold,0.5,1.0
2025-06-23,BUY,159697,油气ETF,油气,1.036,0.48262548,0.5,0.624095,score above threshold,0.0,1.0
2025-07-25,SELL,159887,富国中证800银行ETF,银行,1.395,0.35663338,0.49750357,0.02,two closes below MA30,0.49750357,0.99653832
2025-07-28,BUY,515810,易方达中证800ETF,易方达中证800ETF,1.411,0.35159273,0.49609734,0.874412,score above threshold,0.00140622,0.99219469
2025-08-04,SELL,159697,油气ETF,油气,1.012,0.48262548,0.48841699,0.116316,two closes below MA30,0.48982321,0.98029507
2025-10-20,SELL,515810,易方达中证800ETF,易方达中证800ETF,1.567,0.35159273,0.55094581,0.030301,two closes below MA30,1.04076902,1.04076902
2025-10-21,BUY,159937,博时黄金ETF,黄金,9.468,0.05496245,0.52038451,0.677922,score above threshold,0.52038451,1.04076902
2025-10-30,BUY,560620,万家中证全指公用事业ETF,万家全指公用事业,1.002,0.497487,0.49848197,0.603913,score above threshold,0.02190254,0.99696395
2025-11-18,SELL,159937,博时黄金ETF,黄金,8.761,0.05496245,0.48152606,-0.267719,two closes below MA30,0.50342859,0.98698596
2025-11-19,SELL,560620,万家中证全指公用事业ETF,万家全指公用事业,0.974,0.497487,0.48455234,0.068606,two closes below MA30,0.98798093,0.98798093
2025-12-18,BUY,159206,卫星ETF永赢,卫星,1.404,0.35184506,0.49399047,0.695331,score above threshold,0.49399047,0.98798093
2026-02-06,SELL,159206,卫星ETF永赢,卫星,1.837,0.35184506,0.64633938,-0.091309,two closes below MA30,1.14032984,1.14032984
2026-03-09,BUY,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.096,0.52022347,0.57016492,0.691691,score above threshold,0.57016492,1.14032984
2026-03-09,BUY,159625,嘉实国证绿色电力ETF,环保低碳,1.346,0.4235995,0.57016492,0.664007,score above threshold,0.0,1.14032984
2026-04-01,SELL,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.055,0.52022347,0.54883576,0.017215,two closes below MA30,0.54883576,1.09527911
2026-04-01,SELL,159625,嘉实国证绿色电力ETF,环保低碳,1.29,0.4235995,0.54644335,0.012998,two closes below MA30,1.09527911,1.09527911
2026-04-21,BUY,159259,易方达国证成长100ETF,科技成长,1.293,0.4235418,0.54763955,0.798647,score above threshold,0.54763955,1.09527911
2026-04-21,BUY,159994,5GETF,通信,1.202,0.45560695,0.54763955,0.672812,score above threshold,0.0,1.09527911
