date,action,code,name,theme,price,shares,value,score,reason,cash_after,equity_after
2025-06-23,BUY,159887,富国中证800银行ETF,银行,1.402,0.17831669,0.25,0.647076,score above threshold,0.75,1.0
2025-06-25,BUY,159940,广发中证全指金融地产ETF,房地产,1.271,0.19729177,0.25075785,0.632575,score above threshold,0.49924215,1.00303138
2025-06-30,BUY,159994,5GETF,通信,0.967,0.2570406,0.24855826,0.702724,score above threshold,0.25068389,0.99423305
2025-07-01,BUY,515860,嘉实新兴科技100ETF,新兴科技,1.237,0.20207175,0.24996276,0.602861,score above threshold,0.00072114,0.99985102
2025-07-25,SELL,159887,富国中证800银行ETF,银行,1.395,0.17831669,0.24875178,0.02,two closes below MA30,0.24947292,1.05323427
2025-08-01,SELL,159940,广发中证全指金融地产ETF,房地产,1.275,0.19729177,0.25154701,0.03728,two closes below MA30,0.50101993,1.06511813
2025-08-01,BUY,159505,博时国证2000ETF,博时国证2000ETF,1.245,0.21387914,0.26627953,0.782238,score above threshold,0.2347404,1.06511813
2025-10-15,SELL,159994,5GETF,通信,1.614,0.2570406,0.41486353,0.203395,two closes below MA30,0.64960393,1.29381637
2025-10-15,BUY,159937,博时黄金ETF,黄金,9.165,0.03529232,0.32345409,0.6532,score above threshold,0.32614984,1.29381637
2025-10-16,BUY,159326,华夏中证电网设备主题ETF,电网设备,1.407,0.23018736,0.32387362,0.617077,score above threshold,0.00227622,1.29549447
2025-10-20,SELL,515860,嘉实新兴科技100ETF,新兴科技,1.649,0.20207175,0.33321632,-0.030183,two closes below MA30,0.33549254,1.2643009
2025-10-20,SELL,159505,博时国证2000ETF,博时国证2000ETF,1.36,0.21387914,0.29087563,-0.064439,two closes below MA30,0.62636817,1.2643009
2025-10-30,BUY,560620,万家中证全指公用事业ETF,万家全指公用事业,1.002,0.31475943,0.31538895,0.603913,score above threshold,0.31097923,1.26155579
2025-11-18,SELL,159937,博时黄金ETF,黄金,8.761,0.03529232,0.309196,-0.267719,two closes below MA30,0.62017522,1.2592025
2025-11-19,SELL,560620,万家中证全指公用事业ETF,万家全指公用事业,0.974,0.31475943,0.30657568,0.068606,two closes below MA30,0.9267509,1.25660939
2025-11-20,SELL,159326,华夏中证电网设备主题ETF,电网设备,1.425,0.23018736,0.32801699,0.156655,two closes below MA30,1.25476789,1.25476789
2025-12-18,BUY,159206,卫星ETF永赢,卫星,1.404,0.22342733,0.31369197,0.695331,score above threshold,0.94107592,1.25476789
2025-12-19,BUY,159623,博时成渝经济圈ETF,成渝经济圈,1.049,0.30010401,0.31480911,0.623677,score above threshold,0.62626681,1.25923644
2025-12-25,BUY,159227,华夏国证航天航空行业ETF,军工,1.301,0.24621882,0.32033068,0.652118,score above threshold,0.30593613,1.28132273
2026-02-02,SELL,159623,博时成渝经济圈ETF,成渝经济圈,1.025,0.30010401,0.30760661,-0.01858,two closes below MA30,0.61354274,1.37577088
2026-02-06,SELL,159206,卫星ETF永赢,卫星,1.837,0.22342733,0.41043601,-0.091309,two closes below MA30,1.02397875,1.37976494
2026-02-11,SELL,159227,华夏国证航天航空行业ETF,军工,1.442,0.24621882,0.35504754,-0.120618,two closes below MA30,1.37902629,1.37902629
2026-03-09,BUY,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.096,0.31455892,0.34475657,0.691691,score above threshold,1.03426971,1.37902629
2026-03-10,BUY,159611,广发中证全指电力ETF,全指电力,1.149,0.30018612,0.34491385,0.792716,score above threshold,0.68935586,1.3796554
2026-03-11,BUY,159625,嘉实国证绿色电力ETF,环保低碳,1.381,0.25287,0.34921347,0.813567,score above threshold,0.34014239,1.39685389
2026-03-23,BUY,159981,建信能源化工期货ETF,煤炭能源,1.781,0.18872002,0.33611036,0.692477,score above threshold,0.00403203,1.34444146
2026-04-01,SELL,159158,景顺长城中证全指电力公用事业ETF,全指电力公用事业,1.055,0.31455892,0.33185966,0.017215,two closes below MA30,0.33589168,1.29647235
2026-04-01,SELL,159611,广发中证全指电力ETF,全指电力,1.103,0.30018612,0.33110529,0.014671,two closes below MA30,0.66699697,1.29647235
2026-04-01,SELL,159625,嘉实国证绿色电力ETF,环保低碳,1.29,0.25287,0.3262023,0.012998,two closes below MA30,0.99319927,1.29647235
2026-04-15,SELL,159981,建信能源化工期货ETF,煤炭能源,1.64,0.18872002,0.30950084,0.013287,two closes below MA30,1.30270012,1.30270012
2026-04-21,BUY,159259,易方达国证成长100ETF,科技成长,1.293,0.25187551,0.32567503,0.798647,score above threshold,0.97702509,1.30270012
2026-04-22,BUY,159994,5GETF,通信,1.264,0.25899936,0.32737519,0.740226,score above threshold,0.6496499,1.30950075
2026-04-24,BUY,510020,博时上证超大盘ETF,超大盘,3.95,0.08157968,0.32223973,0.631575,score above threshold,0.32741017,1.2889589
2026-04-28,BUY,159941,广发纳指100ETF,纳指,1.457,0.22170884,0.32302978,0.609368,score above threshold,0.00438039,1.29211914
2026-05-22,SELL,510020,博时上证超大盘ETF,超大盘,3.909,0.08157968,0.31889496,0.058333,two closes below MA30,0.32327535,1.39921593
2026-06-29,SELL,159941,广发纳指100ETF,纳指,1.63,0.22170884,0.36138541,-0.070716,two closes below MA30,0.68466076,1.54186858
2026-06-29,BUY,159516,国泰中证半导体材料设备主题ETF,半导体,1.921,0.20065963,0.38546714,0.957827,score above threshold,0.29919362,1.54186858
