rank,code,name,market,heat,sdate,stime
1,588170,科创半导体ETF华夏,20,22592515.6,20260810,12
2,513120,港股创新药ETF广发,20,11172839.7,20260810,12
3,515120,创新药ETF广发,20,8778956.3,20260810,12
4,589720,科创创新药ETF国泰,20,8074812.5,20260810,12
5,159558,半导体设备ETF易方达,36,7617989.4,20260810,12
6,588080,科创50ETF易方达,20,7609340.0,20260810,12
7,516080,创新药ETF易方达,20,7387120.6,20260810,12
8,159915,创业板ETF易方达,36,5679972.5,20260810,12
9,588710,科创半导体设备ETF华泰柏瑞,20,5195578.7,20260810,12
10,159934,黄金ETF易方达,36,5008997.2,20260810,12
11,159736,食品饮料ETF天弘,36,4976070.3,20260810,12
12,159748,创新药ETF富国,36,4951656.1,20260810,12
13,512400,有色金属ETF南方,20,4931946.8,20260810,12
14,588060,科创50ETF广发,20,4603368.3,20260810,12
15,517110,创新药ETF国泰,20,4351552.8,20260810,12
16,515050,通信ETF华夏,20,4178790.4,20260810,12
17,512480,半导体ETF国联安,20,3915880.6,20260810,12
18,589120,科创创新药ETF汇添富,20,3647322.2,20260810,12
19,515220,煤炭ETF国泰,20,3544709.7,20260810,12
20,159929,医药ETF汇添富,36,3490738.3,20260810,12
21,588870,科创50ETF汇添富,20,3355634.2,20260810,12
22,562500,机器人ETF华夏,20,3314886.5,20260810,12
23,159841,证券ETF天弘,36,3125075.2,20260810,12
24,515880,通信ETF国泰,20,3123813.1,20260810,12
25,589020,科创半导体设备ETF鹏华,20,3111605.5,20260810,12
26,159516,半导体设备ETF国泰,36,3097978.1,20260810,12
27,159583,通信ETF富国,36,3084982.3,20260810,12
28,159847,医疗ETF易方达,36,3074085.4,20260810,12
29,159852,软件ETF嘉实,36,3044571.5,20260810,12
30,159928,消费ETF汇添富,36,2936859.1,20260810,12
