code,name,theme,fund_size,score,total_return,annual_vol,latest_close
159100,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),布拉德斯科巴西伊博维斯帕,559395926.978,0.429236,0.100478,0.245527,1.15
520870,易方达伊塔乌巴西IBOVESPA ETF(QDII),伊塔乌巴西,603159871.7199999,0.381767,0.103547,0.286227,1.151
159518,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),油气能源,2199049589.4693003,0.333554,0.075745,0.24157,1.335
512800,华宝中证银行ETF,银行,9967298262.39,0.317347,0.053616,0.180314,0.845
159391,博时国证大盘价值ETF,大盘价值,93818176.2614,0.306036,0.032288,0.11288,1.119
512890,华泰柏瑞中证红利低波动ETF,红利,31703466513.16,0.259447,0.031008,0.129497,1.197
510230,国泰上证180金融ETF,金融,890542857.5999999,0.23317,0.035687,0.167409,1.335
159985,华夏饲料豆粕期货ETF,饲料豆粕期货,3504184540.5424,0.182565,0.045805,0.281763,2.306
560710,富国中证智选船舶产业ETF,智选船舶,1575351960.0,0.18212,0.041667,0.257012,0.95
159159,国投瑞银中证全指公用事业ETF,国投瑞银全指公用事业,118748792.12460001,0.146653,0.010913,0.086162,1.019
159625,嘉实国证绿色电力ETF,环保低碳,2423308324.7351,0.135962,0.013311,0.114789,1.218
560620,万家中证全指公用事业ETF,万家全指公用事业,25433608.2,0.13554,0.011591,0.100322,0.96
159301,华夏中证全指公用事业ETF,全指公用事业,115434048.1602,0.122138,0.010384,0.101669,0.973
159611,广发中证全指电力ETF,全指电力,9534436283.04,0.119461,0.012524,0.125919,1.051
561560,华泰柏瑞中证全指电力公用事业ETF,全指电力公用事业,2442517685.2200003,0.118611,0.011102,0.112587,1.275
560270,电力ETF工银,电力,152006376.6,0.11794,0.010604,0.108275,0.953
