"theme","code","name","latest_nav","shares","fund_size","scale_source","capacity_source","fund_type","query_date"
"1000增强ETF","159677","1000增强ETF","1.4736","","","","missing","股票型","2026-08-14"
"180ESGETF工银","510990","180ESGETF工银","1.059","38948600.0","41246567.4","sse_shares","fund_size","股票型","2026-08-14"
"800增强ETF","159517","800增强ETF","1.3742","","","","missing","股票型","2026-08-14"
"白银","161226","国投瑞银白银期货证券投资基金(LOF)","","","","","missing","LOF",""
"半导体","512480","国联安半导体ETF","1.0764","18878007200.0","20320286950.08","sse_shares","fund_size","股票型","2026-08-14"
"保证金快线","159003","招商保证金快线A","25.38","","","","missing","货币型","2026-08-14"
"标普500","513350","富国标普石油天然气勘探及生产精选行业ETF(QDII)","1.2703","832746000.0","1057837243.8","sse_shares","fund_size","股票型","2026-08-14"
"博时中证A100ETF","561770","博时中证A100ETF","1.2761","37550000.0","47917555.0","sse_shares","fund_size","股票型","2026-08-14"
"布拉德斯科巴西伊博维斯帕","159100","华夏布拉德斯科巴西伊博维斯帕ETF(QDII)","1.0379","","","","missing","股票型","2026-08-14"
"财富宝","511850","财富宝E","29.01","","","","missing","货币型","2026-08-14"
"策略","512370","华夏中证A500增强策略ETF","1.2194","311313000.0","379615072.2","sse_shares","fund_size","股票型","2026-08-14"
"超大盘","510020","博时上证超大盘ETF","3.9229","36848000.0","144551019.2","sse_shares","fund_size","股票型","2026-08-14"
"车联网","159872","车联网","0.848","","","","missing","股票型","2026-08-14"
"成份","159903","南方深证成份ETF","1.7544","","","","missing","股票型","2026-08-14"
"成渝经济圈","159623","博时成渝经济圈ETF","1.0015","","","","missing","股票型","2026-08-14"
"成长","562310","300成长","1.0961","450572300.00000006","493872298.0300001","sse_shares","fund_size","股票型","2026-08-14"
"畜牧","159867","畜牧ETF","0.5425","","","","missing","股票型","2026-08-14"
"传媒游戏","512980","广发中证传媒ETF","0.8599","5159924400.0","4437018991.56","sse_shares","fund_size","股票型","2026-08-14"
"创","159370","创50ETF工银","1.9024","","","","missing","股票型","2026-08-14"
"创科技","159777","国联安创科技ETF","1.2756","","","","missing","股票型","2026-08-14"
"创业","159821","BOCI创业","1.3666","","","","missing","股票型","2026-08-14"
"创业板","159382","南方创业板人工智能ETF","2.7374","","","","missing","股票型","2026-08-14"
"大成深证100ETF","159216","大成深证100ETF","1.5158","","","","missing","股票型","2026-08-14"
"大成中证A100ETF","159923","大成中证A100ETF","2.2079","","","","missing","股票型","2026-08-14"
"大盘成长","159203","博时国证大盘成长ETF","1.4009","","","","missing","股票型","2026-08-14"
"大盘价值","159021","华夏国证大盘价值ETF","0.9817","","","","missing","股票型","2026-08-14"
"道琼斯","513400","道琼斯ETF","1.3278","2602062000.0","3455017923.6000004","sse_shares","fund_size","股票型","2026-08-14"
"低碳","562300","低碳ETF","0.6901","59495000.0","41057499.5","sse_shares","fund_size","股票型","2026-08-14"
"电力","560270","电力ETF工银","0.9503","167939000.0","159592431.70000002","sse_shares","fund_size","股票型","2026-08-14"
"电网设备","159326","华夏中证电网设备主题ETF","1.7137","","","","missing","股票型","2026-08-14"
"电信","563010","易方达中证电信主题ETF","2.2203","96189300.0","213569102.79","sse_shares","fund_size","股票型","2026-08-14"
"顶峰","513800","南方顶峰TOPIXETF(QDII)","1.9287","1023844400.0","1974688694.28","sse_shares","fund_size","股票型","2026-08-14"
"东英富时亚太精选","159687","南方基金南方东英富时亚太精选ETF(QDII)","1.8688","","","","missing","股票型","2026-08-14"
"东英沙特阿拉伯","520830","华泰柏瑞南方东英沙特阿拉伯ETF(QDII)","0.8945","1122619000.0","1004182695.5","sse_shares","fund_size","股票型","2026-08-14"
"东英新交所泛东南亚科技","513730","华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII)","1.1937","803355000.0","958964863.5","sse_shares","fund_size","股票型","2026-08-14"
"方正富邦","159961","方正富邦深证100ETF","2.2785","","","","missing","股票型","2026-08-14"
