code6,name,signals,first_signal,last_signal,avg_return,median_return,avg_adverse,last_score,win_rate
000893,亚钾国际,4,2025-06-30,2026-01-30,0.09113316853979331,0.07294491551763865,-0.046255241367531674,76.28289703208883,1.0
002170,芭田股份,3,2025-08-29,2026-01-30,0.032180360663050134,0.0496562261268143,-0.07130378442898576,74.3853679774303,0.6666666666666666
002222,福晶科技,3,2026-01-30,2026-04-30,-0.04113069890739373,-0.0604316546762589,-0.11197814674300827,71.13559930359695,0.3333333333333333
601020,华钰矿业,2,2025-02-28,2025-10-31,0.15693907084945485,0.15693907084945485,-0.0610278606906681,80.27677108759225,1.0
002602,世纪华通,2,2025-02-28,2025-07-31,0.11873174294060355,0.11873174294060355,-0.0187337715027589,75.86149911065743,1.0
003025,思进智能,2,2024-10-31,2025-02-28,0.0713320404205369,0.0713320404205369,-0.04470416126977645,75.57212570983543,0.5
000783,长江证券,2,2025-07-31,2025-08-29,0.042897612302711496,0.042897612302711496,-0.05832916063626185,74.83712777530107,0.5
002489,浙江永强,2,2024-10-31,2024-11-29,0.01935483870967745,0.01935483870967745,-0.04076156653842355,77.04083457655399,0.5
603508,思维列控,2,2025-02-28,2025-08-29,-0.0095706441505985,-0.0095706441505985,-0.045434832337550704,83.69850884786523,0.5
605016,百龙创园,2,2025-06-30,2026-04-30,-0.03838745898189685,-0.03838745898189685,-0.08410727646195855,71.26600856734477,0.5
600160,巨化股份,2,2026-01-30,2026-02-27,-0.055444604685535345,-0.055444604685535345,-0.12132078113311974,77.25822989238117,0.5
603986,兆易创新,2,2025-10-31,2026-02-27,-0.0878814546741272,-0.0878814546741272,-0.1820374507180206,74.08633682673276,0.0
600111,北方稀土,1,2025-06-30,2025-06-30,0.6120306822769479,0.6120306822769479,-0.0242228502220427,73.5757482084207,1.0
002755,奥赛康,1,2025-02-28,2025-02-28,0.3163051084674597,0.3163051084674597,-0.0454863540937717,74.00210210812035,1.0
603087,甘李药业,1,2025-07-31,2025-07-31,0.2343257443082311,0.2343257443082311,-0.0049036777583187,82.58569201386537,1.0
002353,杰瑞股份,1,2025-08-29,2025-08-29,0.204099244875944,0.204099244875944,-0.0519956850053938,74.05089797768589,1.0
000426,兴业银锡,1,2025-06-30,2025-06-30,0.1757614213197971,0.1757614213197971,-0.0063451776649745,80.1664784601555,1.0
600995,南网储能,1,2026-01-30,2026-01-30,0.1735983460077572,0.1735983460077572,-0.0503909681857718,72.65947783650894,1.0
600179,安通控股,1,2025-07-31,2025-07-31,0.1645161290322581,0.1645161290322581,-0.0032258064516129,77.53357110138631,1.0
